Product Name,Specifications,Price,MRP,Image URL,Rating
LG 1.5 Ton 3 Star Window Dual Inverter AC with Wi-fi Connect  - White,"['Power Consumption: 1115.04 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹34,999","₹65,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/4/b/l/-original-imagmgyz6rage2yz.jpeg?q=70,4
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,"['Power Consumption: 774.19 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹44,490","₹63,400",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/b/j/y/-original-imagmxwtwz65b9hh.jpeg?q=70,4.2
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"['Power Consumption: 975.26 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor']","₹32,499","₹62,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/r/p/k/-original-imagkqs8xkt8hhfw.jpeg?q=70,4.2
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split AI Dual Inverter 2 Way Swing, HD Filt...","['Power Consumption: 968.04 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹35,990","₹68,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/x/2/-original-imagn42ywxwzszxp.jpeg?q=70,4
"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalize...","['Power Consumption: 1002.84 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Excluding Remote Handset)']","₹35,990","₹62,250",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/f/q/t/-original-imagp8xwjhupxzaw.jpeg?q=70,4.2
CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White,"['Power Consumption: 526.03 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product, 5 Years Warranty on PCB, and 10 Years Warranty on Compressor']","₹25,999","₹55,690",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/m/n/s/-original-imagn572gfpdh6s7.jpeg?q=70,4
MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,"['Power Consumption: 1660 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart']","₹29,490","₹50,999",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/z/v/-original-imagzcecznyepgbx.jpeg?q=70,4.1
"LG Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Dual Inverter 4 Way Swing, HD Filter wit...","['Power Consumption: 837.55 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging (T&C)']","₹39,990","₹81,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/u/t/r/-original-imagp8ww6hhaefcz.jpeg?q=70,4.1
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 4 Star Split Inverter ...,"['Power Consumption: 876.76 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹40,490","₹59,400",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/n/h/p/-original-imagmxwtz9kspfwu.jpeg?q=70,4.2
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"['Power Consumption: 975.26 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor']","₹32,600","₹64,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/g/j/e/-original-imagkuhfgt2vehwg.jpeg?q=70,4.2
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...","['Power Consumption: 685.26 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹44,490","₹85,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/y/h/r/-original-imagpzgfth3hsvyj.jpeg?q=70,4.1
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 5 Star Split Inverter wi...,"['Power Consumption: 523.15 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹37,990","₹54,600",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/g/e/-original-imagmxwtg2t6ryjp.jpeg?q=70,4.2
Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter i-sense Technology with Blu...,"['Power Consumption: 980.37 kWh', 'Room Size: 111 to 150 sqft', '10 years warranty on Inverter compressor,5 years warranty on PCB &1 year comprehensive warranty.']","₹32,490","₹46,900",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/x/c/x/-original-imaghthwhx79vgrp.jpeg?q=70,4
Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,"['Power Consumption: 854.42 W', 'Room Size: 91 to 110 sqft', '1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor']","₹30,990","₹54,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/f/y/x/-original-imagmfp6dtaywuw7.jpeg?q=70,4.2
