Product Name,Specifications,Price,MRP,Image URL,Rating
"REDMI A1+ (Light Green, 32 GB)","['3 GB RAM | 32 GB ROM | Expandable Upto 512 GB', '16.56 cm (6.52 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Helio A22 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']","₹6,749","₹10,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/9/b/-original-imagjyhyrgdtnjjy.jpeg?q=70,4.1
"REDMI 11 Prime (Playful Green, 128 GB)","['6 GB RAM | 128 GB ROM | Expandable Upto 512 GB', '16.71 cm (6.58 inch) Full HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G99 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹10,999","₹16,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/p/m/11-prime-mzb0cepin-redmi-original-imagzqvrhmzjeedx.jpeg?q=70,4.3
"REDMI 11 Prime (Peppy Purple, 128 GB)","['6 GB RAM | 128 GB ROM | Expandable Upto 512 GB', '16.71 cm (6.58 inch) Full HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G99 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹10,999","₹16,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70,4.3
"POCO C50 (Royal Blue, 32 GB)","['2 GB RAM | 32 GB ROM | Expandable Upto 512 GB', '16.56 cm (6.52 inch) HD+ Display', '8MP Dual Camera | 5MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Helio A22 Processor, Upto 2.0 GHz Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹5,499","₹8,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70,4.2
"REDMI A1+ (Light Blue, 32 GB)","['3 GB RAM | 32 GB ROM | Expandable Upto 512 GB', '16.56 cm (6.52 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Helio A22 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']","₹6,749","₹10,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/j/r/-original-imagjyhyaf7tdxnc.jpeg?q=70,4.1
"POCO C55 (Power Black, 128 GB)","['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '50MP Dual Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹8,499","₹13,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70,4.1
"POCO C55 (Cool Blue, 128 GB)","['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '50MP Dual Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹8,499","₹13,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70,4.1
"REDMI 11 Prime (Flashy Black, 128 GB)","['6 GB RAM | 128 GB ROM | Expandable Upto 512 GB', '16.71 cm (6.58 inch) Full HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G99 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹10,999","₹16,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70,4.3
"REDMI A1+ (Black, 32 GB)","['3 GB RAM | 32 GB ROM | Expandable Upto 512 GB', '16.56 cm (6.52 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Helio A22 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']","₹6,749","₹10,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/a/4/-original-imagjyhymqnhz7fm.jpeg?q=70,4.1
"POCO C51 (Royal Blue, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.56 cm (6.52 inch) HD+ Display', '8MP Dual Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']","₹6,999","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70,4.3
