Product Name,Specifications,Price,MRP,Image URL
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹5,649","₹15,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/l/l/x/-original-imaghy7kyyr9pnrr.jpeg?q=70
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","['HD Ready 1366 x 768 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase']","₹5,799","₹10,999",https://rukminim1.flixcart.com/image/312/312/l4ssfww0/television/8/1/x/-original-imagfm4bjkgbzxky.jpeg?q=70
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"['Operating System: WebOS', 'HD Ready 1366 x 768 Pixels', '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']","₹13,999","₹21,990",https://rukminim1.flixcart.com/image/312/312/l0fm07k0/television/7/x/9/-original-imagc8fnpx39evgc.jpeg?q=70
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Domestic Warranty, 2 Years on Panel']","₹13,999","₹17,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/h/a/r/-original-imaghgphdj9fsvzt.jpeg?q=70
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,"['Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '1 Year Domestic Warranty']","₹8,199","₹16,999",https://rukminim1.flixcart.com/image/312/312/l572ufk0/television/e/f/g/32y1-32y1-infinix-original-imagfxczrxjjwxvf.jpeg?q=70
realme 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 - 2022 Model,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Domestic Warranty on Product and 2 Years on Panel']","₹19,999","₹35,999",https://rukminim1.flixcart.com/image/312/312/l3uhvgw0/television/g/c/c/-original-imageuxkfxhruvfx.jpeg?q=70
iFFALCON by TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel-Less design & 24W Speaker,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']","₹9,999","₹19,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/z/w/r/-original-imagnrjvfnwkq8bg.jpeg?q=70
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase from Dyanora']","₹6,749","₹12,499",https://rukminim1.flixcart.com/image/312/312/xif0q/television/x/z/o/-original-imagny7tjrc6zhke.jpeg?q=70
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']","₹15,999","₹21,999",https://rukminim1.flixcart.com/image/312/312/kzfvzww0/television/e/b/b/32hd2a00-32-y1s-oneplus-original-imagbgcewfqywgk7.jpeg?q=70
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']","₹24,999","₹31,999",https://rukminim1.flixcart.com/image/312/312/kzfvzww0/television/g/4/k/43fd2a00-43-y1s-oneplus-original-imagbgc44gerfphz.jpeg?q=70
